Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECR VS. ADP,PS,Baseline,Args
Josh Allen,QB,BUF/7,6.53,1.18,1.0,1,3|08,-0.8333333333333334,0.83,QB:15,12
Patrick Mahomes,QB,KC/8,4.32,1.09,2.0,2,4|12,-1.1666666666666667,0.72,RB:37,1
Justin Herbert,QB,LAC/8,3.95,1.08,3.0,2,4|08,-0.5833333333333334,0.62,WR:44,2
Lamar Jackson,QB,BAL/10,3.89,1.3,4.0,2,5|05,-0.5833333333333334,0.52,TE:17,2
Kyler Murray,QB,ARI/13,3.74,0.97,5.0,2,5|11,-0.25,0.42,,1
Jalen Hurts,QB,PHI/7,3.62,1.02,6.0,2,6|01,0.3333333333333333,0.33,,1
Tom Brady,QB,TB/11,2.67,0.77,7.0,3,7|10,-0.25,0.26,,0
Joe Burrow,QB,CIN/10,2.16,1.03,8.0,3,7|05,-2.083333333333333,0.2,,0
Dak Prescott,QB,DAL/9,2.04,0.88,9.0,3,8|03,-0.8333333333333334,0.15,,0
Russell Wilson,QB,DEN/9,1.53,1.2,10.0,4,8|01,-0.75,0.11,,4.0
Trey Lance,QB,SF/9,1.32,1.14,11.0,4,8|08,0.6666666666666666,0.08,,6.0
Matthew Stafford,QB,LAR/7,1.15,0.91,12.0,4,9|01,-0.3333333333333333,0.05,,6.0
Aaron Rodgers,QB,GB/14,1.07,0.83,13.0,4,9|05,-0.75,0.02,,0.04
Kirk Cousins,QB,MIN/7,0.58,0.64,14.0,4,9|11,0.25,0.01,,0.1
Derek Carr,QB,LV/6,0.24,0.65,15.0,4,10|01,-0.25,0.0,,0.1
Tua Tagovailoa,QB,MIA/11,-1.04,0.82,16.0,5,11|05,0.6666666666666666,0.0,,0.0
Trevor Lawrence,QB,JAX/11,-1.06,0.92,17.0,5,12|04,2.5,0.0,,0.0
Justin Fields,QB,CHI/14,-1.07,1.0,18.0,5,11|08,0.9166666666666666,0.0,,-1.0
Ryan Tannehill,QB,TEN/6,-1.58,1.05,19.0,5,14|01,0.5833333333333334,0.0,,0.0
Daniel Jones,QB,NYG/9,-1.66,1.45,20.0,5,14|11,5.916666666666667,0.0,,0.5
Jameis Winston,QB,NO/14,-1.93,1.38,21.0,6,13|04,2.833333333333333,0.0,,0.0
Matt Ryan,QB,IND/14,-2.02,0.99,22.0,6,13|06,2.1666666666666665,0.0,,0.0
Mac Jones,QB,NE/10,-2.3,0.97,23.0,6,14|09,0.25,0.0,,2022-08-24
Carson Wentz,QB,WAS/14,-2.37,1.09,24.0,6,16|12,0.5,0.0,,
Jared Goff,QB,DET/6,-2.9,0.68,25.0,6,17|03,1.25,0.0,,
Zach Wilson,QB,NYJ/10,-3.17,1.55,26.0,6,17|05,0.6666666666666666,0.0,,
Baker Mayfield,QB,CAR/13,-3.66,1.39,27.0,7,18|08,-2.4166666666666665,0.0,,
Davis Mills,QB,HOU/6,-3.95,0.97,28.0,7,18|12,1.3333333333333333,0.0,,
Marcus Mariota,QB,ATL/14,-5.03,2.24,29.0,7,21|07,4.416666666666667,0.0,,
Mitchell Trubisky,QB,PIT/9,-8.12,3.92,30.0,8,23|04,2.75,0.0,,
